transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,year,month,sale_hour,gains
180,05-11-2022,10:47:00,117,Male,41,Clothing,3,300,129,900,2022,11,10,Profit
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500,145,1500,2022,7,11,Profit
559,12-12-2022,10:48:00,5,Female,40,Clothing,4,300,84,1200,2022,12,10,Profit
1180,06-01-2022,08:53:00,85,Male,41,Clothing,3,300,129,900,2022,1,8,Profit
1522,14-11-2022,08:35:00,48,Male,46,Beauty,3,500,235,1500,2022,11,8,Profit
1559,20-08-2022,07:40:00,49,Female,40,Clothing,4,300,144,1200,2022,8,7,Profit
163,31-10-2022,09:38:00,144,Female,64,Clothing,3,50,23,150,2022,10,9,Profit
303,22-04-2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90,2022,4,11,Profit
421,08-04-2022,08:43:00,66,Female,37,Clothing,3,500,235,1500,2022,4,8,Profit
979,18-05-2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25,2022,5,10,Profit
1163,04-05-2022,10:52:00,120,Female,64,Clothing,3,50,27,150,2022,5,10,Profit
1303,19-03-2022,08:59:00,58,Male,19,Electronics,3,30,15,90,2022,3,8,Profit
1421,17-01-2022,07:07:00,59,Female,37,Clothing,3,500,185,1500,2022,1,7,Profit
1979,17-08-2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25,2022,8,11,Profit
610,18-12-2022,06:56:00,137,Female,26,Beauty,2,300,93,600,2022,12,6,Profit
1610,23-11-2022,10:18:00,1,Female,26,Beauty,2,300,102,600,2022,11,10,Profit
32,16-07-2022,09:11:00,150,Male,30,Beauty,3,30,8.4,90,2022,7,9,Profit
231,09-07-2022,07:02:00,50,Female,23,Clothing,3,50,26.5,150,2022,7,7,Profit
683,06-03-2022,10:22:00,82,Male,38,Beauty,2,500,175,1000,2022,3,10,Profit
1032,01-04-2022,08:15:00,1,Male,30,Beauty,3,30,10.5,90,2022,4,8,Profit
1231,29-01-2022,07:05:00,12,Female,23,Clothing,3,50,23,150,2022,1,7,Profit
1683,04-05-2022,07:19:00,98,Male,38,Beauty,2,500,220,1000,2022,5,7,Profit
367,30-12-2022,07:03:00,123,Female,57,Electronics,1,50,18,50,2022,12,7,Profit
391,25-03-2022,07:37:00,68,Male,19,Beauty,2,25,6.25,50,2022,3,7,Profit
432,10-03-2022,11:31:00,17,Female,42,Electronics,2,500,190,1000,2022,3,11,Profit
1367,15-04-2022,11:38:00,16,Female,42,Electronics,1,50,15.5,50,2022,4,11,Profit
1391,01-03-2022,11:29:00,130,Male,42,Beauty,2,25,9.25,50,2022,3,11,Profit
